ST;PS;0_P1;1_P1;P1;T;0_P2;1_P2;P2;P2-P1
D;AR2;8;35;0.813953488372093;AN;14;29;0.6744186046511628;-0.13953488372093026
D;AR2;8;35;0.813953488372093;AN1;14;29;0.6744186046511628;-0.13953488372093026
D;AR2;8;35;0.813953488372093;AN2;14;29;0.6744186046511628;-0.13953488372093026
D;AR2;8;35;0.813953488372093;AN3;17;26;0.6046511627906976;-0.2093023255813954
D;AR2;8;35;0.813953488372093;AN4;18;25;0.5813953488372093;-0.2325581395348837
D;AR2;8;35;0.813953488372093;GN;19;24;0.5581395348837209;-0.2558139534883721
D;AR3;5;38;0.8837209302325582;AN;12;31;0.7209302325581395;-0.16279069767441867
D;AR3;5;38;0.8837209302325582;AN1;15;28;0.6511627906976745;-0.2325581395348837
D;AR3;5;38;0.8837209302325582;AN2;23;20;0.46511627906976744;-0.4186046511627907
D;AR3;5;38;0.8837209302325582;AN3;28;15;0.3488372093023256;-0.5348837209302326
D;AR3;5;38;0.8837209302325582;AN4;32;11;0.2558139534883721;-0.627906976744186
D;AR3;5;38;0.8837209302325582;GN;31;12;0.27906976744186046;-0.6046511627906976
D;CM2;9;58;0.8656716417910447;AN;15;52;0.7761194029850746;-0.08955223880597007
D;CM2;9;58;0.8656716417910447;AN1;16;51;0.7611940298507462;-0.10447761194029848
D;CM2;9;58;0.8656716417910447;AN2;16;51;0.7611940298507462;-0.10447761194029848
D;CM2;9;58;0.8656716417910447;AN3;19;48;0.7164179104477612;-0.14925373134328357
D;CM2;9;58;0.8656716417910447;AN4;23;44;0.6567164179104478;-0.20895522388059695
D;CM2;9;58;0.8656716417910447;GN;19;48;0.7164179104477612;-0.14925373134328357
D;CM3;8;59;0.8805970149253731;AN;12;55;0.8208955223880597;-0.05970149253731338
D;CM3;8;59;0.8805970149253731;AN1;14;53;0.7910447761194029;-0.08955223880597019
D;CM3;8;59;0.8805970149253731;AN2;18;49;0.7313432835820896;-0.14925373134328357
D;CM3;8;59;0.8805970149253731;AN3;20;47;0.7014925373134329;-0.17910447761194026
D;CM3;8;59;0.8805970149253731;AN4;21;46;0.6865671641791045;-0.19402985074626866
D;CM3;8;59;0.8805970149253731;GN;19;48;0.7164179104477612;-0.16417910447761197
D;PT2;3;18;0.8571428571428571;AN;8;13;0.6190476190476191;-0.23809523809523803
D;PT2;3;18;0.8571428571428571;AN1;8;13;0.6190476190476191;-0.23809523809523803
D;PT2;3;18;0.8571428571428571;AN2;8;13;0.6190476190476191;-0.23809523809523803
D;PT2;3;18;0.8571428571428571;AN3;8;13;0.6190476190476191;-0.23809523809523803
D;PT2;3;18;0.8571428571428571;AN4;9;12;0.5714285714285714;-0.2857142857142857
D;PT2;3;18;0.8571428571428571;GN;8;13;0.6190476190476191;-0.23809523809523803
D;PT3;3;18;0.8571428571428571;AN;2;19;0.9047619047619048;0.04761904761904767
D;PT3;3;18;0.8571428571428571;AN1;2;19;0.9047619047619048;0.04761904761904767
D;PT3;3;18;0.8571428571428571;AN2;2;19;0.9047619047619048;0.04761904761904767
D;PT3;3;18;0.8571428571428571;AN3;3;18;0.8571428571428571;0.0
D;PT3;3;18;0.8571428571428571;AN4;3;18;0.8571428571428571;0.0
D;PT3;3;18;0.8571428571428571;GN;4;17;0.8095238095238095;-0.04761904761904756
G;AR2;67;6;0.0821917808219178;AN;72;1;0.0136986301369863;-0.0684931506849315
G;AR2;67;6;0.0821917808219178;AN1;72;1;0.0136986301369863;-0.0684931506849315
G;AR2;67;6;0.0821917808219178;AN2;72;1;0.0136986301369863;-0.0684931506849315
G;AR2;67;6;0.0821917808219178;AN3;72;1;0.0136986301369863;-0.0684931506849315
G;AR2;67;6;0.0821917808219178;AN4;71;2;0.0273972602739726;-0.0547945205479452
G;AR2;67;6;0.0821917808219178;GN;71;2;0.0273972602739726;-0.0547945205479452
G;AR3;72;1;0.0136986301369863;AN;70;3;0.0410958904109589;0.0273972602739726
G;AR3;72;1;0.0136986301369863;AN1;71;2;0.0273972602739726;0.0136986301369863
G;AR3;72;1;0.0136986301369863;AN2;72;1;0.0136986301369863;0.0
G;AR3;72;1;0.0136986301369863;AN3;73;0;0.0;-0.0136986301369863
G;AR3;72;1;0.0136986301369863;AN4;73;0;0.0;-0.0136986301369863
G;AR3;72;1;0.0136986301369863;GN;73;0;0.0;-0.0136986301369863
G;CM2;38;1;0.02564102564102564;AN;37;2;0.05128205128205128;0.02564102564102564
G;CM2;38;1;0.02564102564102564;AN1;37;2;0.05128205128205128;0.02564102564102564
G;CM2;38;1;0.02564102564102564;AN2;37;2;0.05128205128205128;0.02564102564102564
G;CM2;38;1;0.02564102564102564;AN3;37;2;0.05128205128205128;0.02564102564102564
G;CM2;38;1;0.02564102564102564;AN4;37;2;0.05128205128205128;0.02564102564102564
